date,config,expected_uncovered,cvar_uncovered,expected_demand,cvar_demand,units,districts_served,want_pompa,want_truk
2015-03-31,B0,17808482,18902601,17808482,18902601,0,0,532,6892
2015-03-31,B1,17555549,18641194,17808482,18896860,95,14,532,6892
2015-03-31,B2,17560382,18643527,17808482,18896860,95,15,532,6892
2015-03-31,B3,17539383,18467238,17808482,18899692,95,13,532,6892
2015-04-01,B0,17541569,18330534,17541569,18330534,0,0,439,6892
2015-04-01,B1,17318242,18130201,17541569,18330534,95,16,439,6892
2015-04-01,B2,17316663,18131201,17541569,18330534,95,19,439,6892
2015-04-01,B3,17311843,17941537,17541569,18253402,95,12,439,6892
2015-04-02,B0,17906806,18791812,17906806,18791812,0,0,524,6892
2015-04-02,B1,17661257,18551027,17906806,18776361,95,14,524,6892
2015-04-02,B2,17658957,18541232,17906806,18759232,95,15,524,6892
2015-04-02,B3,17647583,18400919,17906806,18722441,95,16,524,6892
2015-04-03,B0,18162559,19201594,18162559,19201594,0,0,601,6892
2015-04-03,B1,17883393,18908594,18162559,19201594,95,12,601,6892
2015-04-03,B2,17887159,18919594,18162559,19201594,95,13,601,6892
2015-04-03,B3,17869586,18834481,18162559,19201594,95,13,601,6892
2015-04-04,B0,17867465,19271953,17867465,19271953,0,0,536,6892
2015-04-04,B1,17595056,18914953,17867465,19271953,95,12,536,6892
2015-04-04,B2,17598290,18912619,17867465,19271953,95,13,536,6892
2015-04-04,B3,17565366,18836009,17867465,19271953,95,13,536,6892
2015-04-05,B0,17155908,18697838,17155908,18697838,0,0,426,6892
2015-04-05,B1,16931608,18380171,17155908,18697838,95,15,426,6892
2015-04-05,B2,16944174,18391838,17155908,18697838,95,18,426,6892
2015-04-05,B3,16903133,18255237,17155908,18697838,95,14,426,6892
2015-04-06,B0,16855092,18045049,16855092,18045049,0,0,352,6892
2015-04-06,B1,16670492,17795716,16855092,18045049,95,18,352,6892
2015-04-06,B2,16689892,17821716,16855092,18045049,95,22,352,6892
2015-04-06,B3,16660251,17662042,16855092,18045049,95,9,352,6892
2015-04-07,B0,17405398,18456025,17405398,18456025,0,0,476,6892
2015-04-07,B1,17207832,18196025,17405398,18456025,95,15,476,6892
2015-04-07,B2,17221165,18203359,17405398,18456025,95,19,476,6892
2015-04-07,B3,17164768,18038184,17405398,18456025,95,13,476,6892
2015-04-08,B0,16965434,18125856,16965434,18125856,0,0,411,6892
2015-04-08,B1,16771267,17915523,16965434,18125856,95,17,411,6892
2015-04-08,B2,16789234,17926523,16965434,18125856,95,22,411,6892
2015-04-08,B3,16753632,17714657,16965434,18125856,95,11,411,6892
2015-04-09,B0,16755090,17522116,16755090,17522116,0,0,317,6892
2015-04-09,B1,16562557,17322914,16755090,17514581,95,19,317,6892
2015-04-09,B2,16578624,17336581,16755090,17514581,95,24,317,6892
2015-04-09,B3,16533957,17276104,16755090,17522116,95,14,317,6892
2015-04-10,B0,15926606,16633788,15926606,16633788,0,0,65,6892
2015-04-10,B1,15770672,16467121,15926606,16633788,95,35,65,6892
2015-04-10,B2,15790372,16485121,15926606,16633788,95,43,65,6892
2015-04-10,B3,15755427,16389128,15926606,16574487,95,13,65,6892
2015-04-11,B0,15937105,16822462,15937105,16822462,0,0,109,6892
2015-04-11,B1,15778538,16646796,15937105,16822462,95,36,109,6892
2015-04-11,B2,15800538,16660462,15937105,16822462,95,44,109,6892
2015-04-11,B3,15753401,16562009,15937105,16797153,95,11,109,6892
2015-04-12,B0,17022070,18208529,17022070,18208529,0,0,409,6892
2015-04-12,B1,16793570,17929862,17022070,18208529,95,12,409,6892
2015-04-12,B2,16805170,17939862,17022070,18208529,95,13,409,6892
2015-04-12,B3,16790952,17812018,17022070,18208529,95,11,409,6892
2015-04-13,B0,16782993,17754746,16782993,17754746,0,0,316,6892
2015-04-13,B1,16590660,17528412,16782993,17754746,95,19,316,6892
2015-04-13,B2,16605160,17536746,16782993,17754746,95,22,316,6892
2015-04-13,B3,16564489,17390636,16782993,17699525,95,11,316,6892
2015-04-14,B0,17881844,19454013,17881844,19454013,0,0,530,6892
2015-04-14,B1,17644844,19183298,17881844,19436298,95,12,530,6892
2015-04-14,B2,17652477,19188965,17881844,19436298,95,14,530,6892
2015-04-14,B3,17646437,19031006,17881844,19436298,95,14,530,6892
2015-04-15,B0,17369369,18434245,17369369,18434245,0,0,488,6892
